Month,Avg Temp (F),Max Temp (F),Min Temp (F),Avg Rel Hum (%),Max Rel Hum (%),Min Rel Hum (%),Avg Sol Rad (w/m^2),Max Sol Rad (w/m^2),Total Sol Rad (w/m^2),Avg Wind (mph),Max Wind (mph),Avg Barom (mb),Max Barom (mb),Min Barom (mb),Precip (in),Deep Well (ft),Shallow Well (ft),80 cm Soil (C),10 cm Soil (C)
1,16.17,25.12,1.36,83.84,95,72.6,20.6,126,2945,0.63,7.67,1013.82,1019,1012,0.02,5.91,2.28,4.26,2.08
1,21.23,30.96,11.35,85.57,95,60.65,56.16,409,8031,0.25,8.55,1003.47,1004,1002,0.01,6.09,2.41,4.18,2
1,24.54,33.8,19.67,80.37,94.9,51.05,44.32,532,6337,0.62,10.74,1005.79,1009,1003,0,6.19,2.46,4.15,1.98
1,22.05,27.14,19.2,77.33,91.7,61.9,50.81,402,7265,2.25,20.82,1011.52,1017,1008,0,6.29,2.52,4.11,1.95
1,12.39,19.65,4.8,58.74,86.8,27.52,139.09,582,19890,2.19,18.41,1022.74,1026,1017,0,6.42,2.59,4.07,1.92
2,15.14,20.5,5.05,85.51,93.2,63.81,8.43,57,1205,1.09,9.64,1020.01,1024,1017,0.52,6.5,2.61,4.03,1.9
2,22.14,26.2,18.61,89.98,94.8,77.9,14.18,107,2027,5.15,28.06,1005.8,1017,998,0.71,6.48,2.61,4,1.87
2,14.09,21.54,7.43,69.68,85.3,50.65,130.16,573,18482,2.66,23.89,1016.11,1019,1007,0,6.51,2.72,3.97,1.83
2,24.51,34.99,10.63,80.98,96.3,45.97,49.91,585,7136,1.64,21.7,1001.34,1011,985,0.57,6.67,2.69,3.9,1.76
2,31.07,35.58,26.33,82.59,95.5,65.86,55.82,468,7926,0.68,9.43,1007.39,1010,1000,0.05,6.45,1.84,3.79,1.65
2,22.68,32.25,7.41,87.33,97.1,66.39,56.73,696,7999,3.1,28.93,999.14,1010,994,0.42,6.16,1.86,3.73,1.62
2,16.47,27.73,6.71,52.33,79.6,26.85,129.04,682,18324,2.58,24.11,1010.44,1013,1008,0,6.04,2.01,3.7,1.59
2,13.68,21.33,1,57.6,80.6,42.53,107.84,697,15421,2.65,17.97,1008.36,1011,1006,0,6.01,2.06,3.68,1.57
2,9.43,27.01,-7.92,62.56,86.3,27.31,145.64,660,20826,0.95,14.69,1011.14,1013,1009,0,6.01,2.16,3.68,1.56
2,26.11,36.43,15.03,69.48,88.4,53.93,61.97,505,8862,2.07,28.06,1005.86,1010,999,0.01,6.04,2.28,3.67,1.56
2,38.37,53.73,27.75,60.23,81.9,33.04,92.76,638,13265,3.18,37.7,993.47,1003,987,0.02,6.03,2.11,3.67,1.55
2,15.67,27.16,6.84,50.04,73.3,28.91,157.65,647,22544,3.94,28.06,1016.05,1023,1003,0,6.08,1.89,3.65,1.52
2,38.22,56.95,25.97,67.99,85.5,37.67,110.78,706,15842,0.06,5.7,1012.1,1014,1009,0,5.95,1.86,3.61,1.52
2,45.99,59.68,35.46,59.14,85.6,23,81.33,615,11630,1.52,28.5,1000.24,1009,995,0,5.83,1.5,3.61,1.5
2,22.84,42.24,10.63,62.88,91,29.56,88.93,487,12717,6.73,39.46,1000.23,1010,995,0.09,5.59,1.27,3.59,1.47
2,14.88,22.86,6.84,55.54,72.3,41.46,166.28,690,23778,3.3,32.44,1012.74,1015,1009,0,5.29,1.4,3.55,1.47
2,14.78,30.94,0.9,50.44,76.5,20.3,179.46,695,25663,1.52,14.25,1019.3,1021,1018,0,5.03,1.59,3.5,1.49
2,25.25,40.68,4.57,53.31,75.8,21.88,101.71,767,14545,1.41,23.02,1013.9,1019,1009,0,5.05,1.59,3.5,1.45
2,29.44,35.22,22.87,91.19,96.6,66.13,3.08,19,441,0.02,5.48,998.2,1009,987,1.06,5,1.58,3.49,1.44
2,24.48,29.39,21.45,75.87,92.9,55.95,17.08,93,2442,0.88,23.24,1011.66,1014,1007,0.01,5.01,1.65,3.48,1.47
2,27.3,36.05,22.98,85.22,95.1,55.35,23.56,564,3369,1.25,9.43,1009.13,1013,1005,0.17,5.07,1.62,3.48,1.48
2,32.95,42.73,24.53,83.58,94.3,60.18,19.72,153,2821,4.89,34.85,1001.69,1012,992,0.42,5.08,1.53,3.48,1.47
3,24.14,32.36,14.81,54.65,71.7,27.84,184.9,727,26440,2.84,23.02,1014.93,1019,1005,0,5.06,1.48,3.46,1.47
3,25.46,40.82,11.35,57.46,82.7,43.11,75.87,625,10243,3.4,34.2,1011.72,1021,1007,0.01,5.02,1.51,3.45,1.45
3,10.54,21.67,2.08,47.89,68.73,24.01,214.86,760,30724,2.53,19.95,1028.28,1031,1021,0,5.04,1.62,3.43,1.44
3,22.45,37.94,2.43,52.43,77.3,22.35,186.57,812,26680,2.94,19.73,1029.47,1032,1026,0,5.13,1.59,3.43,1.44
3,40.73,48.88,31.32,81.82,93.8,63.86,52.11,368,7451,4.46,29.59,1019.83,1026,1014,0.02,5.14,1.44,3.43,1.44
3,40.82,46.98,31.06,92.41,96.3,82.2,32.04,191,4582,2.41,20.39,1008.48,1014,1002,1.89,5.03,0.93,3.32,1.09
3,22.9,32.25,12.67,87.17,95.5,64.21,157.92,695,22583,0.21,10.74,1026.57,1030,1020,0,4.13,1.07,3.06,0.86
3,29,36.41,20.62,76.53,95.7,56.93,113.69,586,16257,3.86,27.18,1028.69,1032,1025,0,4.02,1.15,3.11,1.13
3,33.46,37.85,29.41,89.55,93.6,74.8,12.16,60,1726,5.21,22.8,1018.16,1025,1009,0.29,3.9,1.13,3.13,1.24
3,41.47,50.2,36.05,85.2,95.3,65.6,53.28,619,7566,2.65,24.77,1002.91,1009,1001,0.47,3.74,0.84,3.04,0.94
3,35.7,41.04,31.08,75.35,92.4,59.56,85.83,776,12102,1.28,18.41,1002.2,1004,1001,0.02,3.61,0.91,2.94,0.84
3,35.76,40.78,33.08,79.44,95.1,63.6,134.71,889,18455,3.04,26.08,1008.62,1015,1003,0.14,3.57,0.86,2.86,0.78
3,32.19,39.13,25.72,74.57,93.4,39.46,173.07,842,24576,1.35,19.95,1019.17,1023,1015,0,3.6,0.93,2.8,0.75
3,32.64,46.15,20.16,71.54,94.6,38.74,212.21,751,30346,1.63,13.37,1023.51,1026,1021,0,3.61,0.98,2.78,0.8
3,36.73,44.6,31.66,88.84,95.5,78.1,66.72,891,9541,1.78,19.73,1013.98,1021,1009,0.52,3.55,0.86,2.75,0.73
3,43.61,56.23,33.44,66.22,90.3,34.89,209.12,744,29904,1.52,16.44,1013.03,1016,1008,0,3.47,0.81,2.71,0.77
3,36.25,42.13,27.39,64.32,87.6,40.39,158.12,919,22611,3.18,24.99,1016.76,1026,1008,0,3.46,0.86,2.88,3.87
3,31.39,44.37,19.31,58.27,89.8,25.05,238.35,786,34085,0.83,11.18,1027.94,1031,1025,0,3.53,1.05,3.29,3.26
3,32.67,36.9,29.66,78.87,95.9,35.58,8.94,40,1278,2.45,20.82,1013.44,1025,1004,0.27,3.54,1.1,3.52,2.87
3,34.9,37.62,30.96,79.13,93,63.75,50.01,349,7151,2.93,20.6,1007.03,1009,1004,0.01,3.5,0.97,3.6,2.44
3,28.38,32.16,25.25,65.87,84.6,40.34,86.27,417,12336,1.64,10.74,1004.59,1009,999,0,3.47,1.12,3.58,2.33
3,26.11,33.8,20.03,60.07,90.9,28.76,198.86,1089,27841,2.79,29.59,1006.1,1008,1004,0,3.56,1.24,3.61,2.52
3,25.49,36.52,16.59,48.95,79,22.34,244.23,849,34925,3.54,24.55,1006.53,1009,1004,0,3.71,1.33,3.59,1.84
3,28.51,39.49,19.2,39.46,57.7,23.74,244.73,843,34997,5.56,25.43,1006.34,1009,1004,0,3.78,1.38,3.52,1.76
3,30.55,39.25,20.86,55.12,79.4,38.08,204.87,1047,26838,2.67,20.6,1010.79,1014,1009,0,3.86,1.41,3.46,1.86
4,32.81,36.18,30.49,89.91,95.7,81.9,77.82,437,11128,1.97,17.1,991.46,1001,986,0.35,3.99,1.23,3.67,3.32
4,41.49,50.67,34.03,41.33,66.33,16.13,265,904,37896,4.43,27.62,1004.01,1010,997,0,3.88,1.26,3.79,3.92
4,39.95,46.38,32.97,81.75,95.3,47.81,34.22,306,4894,2.12,22.14,1001.22,1010,992,0.66,3.86,1.06,3.92,4.16
4,40.85,51.49,32.27,84.48,94.9,60.04,37.37,211,5307,3.37,26.96,990.18,999,985,0.41,3.65,0.86,4.15,5.01
4,37.26,47.7,29.41,58.23,83.7,30.34,186.21,1038,26629,3.62,27.84,1005.54,1011,999,0,3.59,1.12,4.17,3.87
4,37.39,49.93,26.08,59.76,95.6,20.62,279.23,912,39930,1.2,14.91,1013.24,1016,1011,0,3.63,1.26,4.3,5.04
4,38.32,52.09,24.08,54.63,87.9,20.88,195.92,856,28017,0.55,12.49,1016.56,1019,1014,0,3.65,1.32,4.48,5.24
4,43.29,61.45,26.08,55.39,88.6,22.99,258.6,863,36981,0.73,13.15,1014.83,1017,1012,0,3.66,1.35,4.66,6.04
4,63.12,79.27,49.35,66.23,85.6,43.93,173.4,878,24796,3.77,25.21,999.27,1008,993,0,3.64,1.38,5.46,11.08
4,54.24,62.42,47.7,45.89,66.44,18.24,148.9,633,21292,3.81,27.4,1007.15,1015,997,0.01,3.64,1.44,5.92,11.21
4,47.92,60.15,41.41,68.82,95.4,38.92,222.41,925,31360,3.07,21.48,1010.95,1019,1006,0.01,3.67,1.33,6.77,8.69
4,40.81,54.91,27.99,48.04,78.3,19.82,294.61,956,41834,1.86,13.59,1023.39,1026,1019,0,3.75,1.44,6.85,8.72
4,37.59,43.2,33.46,60.53,91,39.67,68.8,407,9839,5.47,25.65,1016.64,1025,1001,0.29,3.86,1.43,6.9,7.4
4,42.11,55.17,33.69,60.12,91.8,29.08,241.09,924,34234,3.61,29.15,1007.54,1011,1002,0.04,3.54,1.15,6.83,7.59
4,39.95,42.01,37.85,89.33,94,77.7,62.04,463,8872,1.75,11.4,1013.49,1016,1010,0.17,3.55,1.22,6.88,8.02
4,43.85,53.04,37.85,83.35,92.6,70.5,60.34,396,8629,4.99,22.8,1007,1015,1002,0.07,3.5,1.16,7,7.39
4,39.45,45.68,30.49,59.85,78,44.04,114.63,1047,16277,4.06,32.88,1013.47,1022,1007,0,3.5,1.29,7,7.28
4,39.92,54.57,24.78,54.96,90.8,20.55,216.27,945,30710,1.45,13.81,1023.69,1027,1022,0,3.6,1.37,6.91,6.57
4,40.16,46.27,31.89,84.35,94.8,37.23,24.5,128,3503,3.07,22.36,1013.8,1022,1007,0.41,3.6,1.14,6.74,6.56
4,54.01,62.06,45.68,73.96,95.8,41.5,127.13,707,18179,1.62,17.76,1010.5,1013,1007,0,3.55,1.22,6.67,7.44
4,65.6,82.72,52.34,74.19,95.5,42.01,207.74,924,29499,3.01,25.21,1008.61,1011,1006,0.25,3.63,1.14,7.01,9.93
4,67.99,79.14,57.45,77.19,95.2,53.91,166.7,933,23672,3.21,32.88,1008.36,1011,1005,0.25,3.57,1.11,7.51,12.27
4,64.89,68.72,53.17,81.34,94,63.46,61.27,436,8700,3.13,33.1,1000.11,1006,997,0.62,3.52,1.02,8.31,13.31
4,47.88,60.98,35.35,60.26,89.5,30.27,243.2,1227,34777,2,20.6,1012.97,1019,1007,0,3.52,1.3,9.77,11.79
5,52.64,73.09,32.04,53.87,93.5,15.46,310.97,987,43847,0.84,12.06,1019.08,1021,1016,0,3.62,1.42,9.81,11.55
5,53.27,64.67,39.27,62.64,80.2,43.95,160,925,22240,1.64,17.97,1017.45,1020,1014,0,3.71,1.51,9.75,11.8
5,63.52,75.6,51.26,67.51,87.7,46.84,150.64,1002,21542,2.3,28.72,1013.07,1016,1009,0,3.83,1.53,9.73,12.47
5,42.8,49.01,34.86,84.45,96.1,61.48,120.44,582,17103,2.04,21.7,1007.15,1009,1006,0.23,3.7,1.03,10.26,11.47
5,52.22,65.16,33.31,49.57,96.7,23.39,279.84,1003,40017,2.48,19.73,1006.3,1008,1005,0,3.61,1.18,10.25,11.22
5,51.76,66.2,37,68.21,95,41.3,202.35,1294,28937,1.61,17.54,1008.59,1011,1006,0,3.72,1.49,10.07,11.93
5,51.89,63.48,38.68,59.23,91.2,33.17,326.35,1097,46669,2.24,25.43,1010.87,1013,1010,0,3.9,1.6,10.1,12.41
5,53.64,68.58,36.3,58.7,91.2,34.49,310.65,1102,43491,2.2,19.95,1011.8,1013,1010,0,4.11,1.69,10.21,12.69
5,57.35,68.83,48.76,64.98,87.3,40.77,124.34,666,17035,0.81,14.25,1014.22,1015,1013,0,4.35,1.75,10.35,13.34
5,58.7,75.34,40.46,61.59,93.6,28.67,329.29,1001,46760,1.08,11.84,1012.56,1015,1010,0,4.55,1.84,10.54,13.53
5,56.88,63.01,53.64,83.59,95.7,70.2,55.52,344,7939,1,13.15,1004.71,1006,1003,0.23,4.87,1.87,10.89,13.93
5,55.64,58.39,51.39,93.65,95.9,89.3,36.84,146,5232,0.62,12.49,1000.51,1003,999,0.54,4.99,1.43,11,13.55
5,52.53,57.79,48.29,87.03,91.1,78.6,64.84,534,9273,2.34,15.12,1012.01,1014,1009,0.02,4.71,1.56,11.2,12.96
5,55.95,60.39,51.85,90.6,93.8,86,40.86,237,5761,2.32,15.78,1013.99,1015,1013,0.18,4.76,1.54,11.23,12.92
5,61.21,71.8,53.53,84.8,95.3,65.15,212.56,1270,30184,1.4,14.47,1012.78,1014,1012,0.34,4.82,1.27,11.21,13.57
5,61.07,71.92,52.45,83.6,95.9,56.63,190.96,970,27308,0.46,10.74,1010.17,1012,1008,0.47,4.7,1.19,11.33,14.66
5,58.14,68.85,48.88,90.35,96.1,70.6,142.07,946,20316,0.33,10.52,1010.38,1013,1009,0.18,4.52,1.38,11.62,14.67
5,58.86,69.06,53.29,83.37,96.2,63.3,172.47,923,24663,1.11,15.56,1014.81,1016,1013,0,4.53,1.48,11.84,14.76
5,56.86,60.75,52.45,86.69,94.7,82.2,46.33,195,6625,2.24,16.44,1010.39,1014,1004,0.11,4.58,1.6,12.02,14.67
5,65.78,77.72,58.5,82.42,95.8,53.11,181.85,1056,26005,0.94,15.56,1003.13,1006,1002,0.05,4.67,1.56,12.12,14.86
5,62.25,75.7,52.45,76.86,95.5,45.25,315.25,1204,45081,0.85,9.86,1008.8,1011,1006,0,4.8,1.78,12.22,15.62
5,69.66,84.74,53.17,72.7,94.7,49.88,315.31,1026,44775,2.29,20.39,1007.73,1009,1006,0,4.98,1.98,12.4,16.24
5,69.91,86.29,55.67,75.59,96.2,35.21,276.65,999,39561,0.68,33.32,1009.9,1013,1008,0.2,5.17,1.99,12.64,17.24
5,72.79,83.07,62.65,74.13,92.5,35.74,278.11,1069,39770,1.01,13.59,1014.31,1017,1011,0,5.75,2.68,13.62,18.82
5,70.54,85.8,56.86,72.95,95.9,38.05,309.65,1043,44280,0.25,7.89,1017.75,1020,1016,0,5.98,2.85,13.86,18.7
6,71.43,88.07,62.29,77.3,93.6,41.76,185.8,1032,26570,0.93,16.22,1010.36,1016,1004,0.31,6.17,2.91,14.13,18.89
6,58.54,66.7,51.85,55.88,75.2,40.97,255.53,1313,36541,3.93,38.8,1007.42,1010,1005,0,6.33,2.85,14.37,18.3
6,54.09,68.94,39.51,59.41,93.4,25.64,355.93,1080,50898,1.77,20.6,1011.72,1014,1010,0,6.5,3.07,14.53,16.76
6,59.7,72.25,45.91,70.81,91.9,46.25,243.02,1218,34751,0.52,9.64,1012.78,1014,1012,0,6.91,3.4,14.31,15.95
6,63.78,78.91,48.06,72.08,95.8,35.81,330.69,1033,47289,0.75,10.3,1012.1,1014,1011,0,7.14,3.58,14.23,16.44
6,71.22,89.26,56.98,76.87,95.5,43.01,256.94,922,36742,0.33,15.56,1008.06,1009,1006,0,7.63,3.94,14.35,17.5
6,69.18,88.66,60.98,83.75,95.8,56.88,205.5,911,26510,0.45,26.3,1007.05,1009,1004,0.88,7.86,4.06,14.51,18.18
6,65.71,75.13,58.05,80.12,96.2,46.84,253.24,1153,36213,0.57,13.81,1011.17,1013,1008,0.01,8.09,3.9,14.76,18.19
6,56.98,63.12,53.29,89.8,94.7,78,53.07,941,7588,1.86,16.88,1012.73,1015,1011,0.91,8.25,3.67,14.96,17.63
6,56.1,64.8,50.79,86.69,94.1,69.72,135.4,1031,19362,1.55,13.59,1008.24,1011,1006,0.05,8.3,3.14,15.07,16.79
6,57.86,66.7,48.76,82.89,95.5,58.68,128.17,970,18328,0.21,9.86,1007.55,1008,1007,0,8.23,3.36,15.02,16.49
6,60.45,78.44,44.28,75.8,96.5,40.89,323.36,1053,45917,0.83,14.03,1007.33,1009,1006,0,8.29,3.96,14.86,15.85
6,65.07,83.19,48.06,72.61,96.4,31.97,307.38,1042,43956,0.36,9.43,1008.4,1010,1008,0,8.46,4.31,14.78,16.35
6,61.69,73.45,55.54,90.41,96.2,69.84,104.39,1168,14928,0.19,16.66,1007.78,1009,1006,1.11,8.66,4.4,14.8,16.73
6,66.27,80.1,56.73,81.97,96.6,48.09,257.23,1173,36784,0.52,12.49,1006.14,1008,1004,0,8.79,3.29,14.92,17.02
6,60.21,73.22,48.42,71.25,96.2,33.83,353.2,1088,50508,0.94,14.47,1007.04,1008,1006,0.01,8.61,3.41,15,17.15
6,60.07,77.13,44.15,73.16,96.3,37.99,333.78,1063,47731,0.57,10.74,1008.34,1010,1007,0,8.45,3.67,15.05,16.56
6,61.8,63.61,59.34,91.67,95.7,83.3,44.23,241,6325,0.32,10.52,1008.93,1011,1006,1.79,8.46,3.92,15.04,17.04
6,62.63,65.39,60.28,92.96,95.7,87.4,47.98,247,6861,0.91,13.15,1005.34,1006,1004,0.28,8.39,1.61,15.23,17.13
6,63.36,72.39,56.5,87.98,96.3,67.13,139.41,712,19935,0.22,7.01,1009.41,1012,1007,0.01,5.95,1.31,15.19,17.1
6,66.13,81.05,52.7,79.95,96.5,46.24,325.55,1097,46553,0.23,7.67,1012.01,1014,1010,0,5.53,1.63,15.21,17.28
6,68.05,79.65,56.86,82.68,96.3,57.87,163.05,801,23316,0.28,26.08,1008.34,1011,1005,0.57,5.43,1.81,15.25,17.95
6,64.05,74.41,58.75,81.76,96.2,54.18,199.99,1390,28599,1.16,16.22,1006.74,1009,1005,0.14,5.43,1.24,15.38,18.51
6,65.01,75,55.31,66,86.3,45.33,323.72,1175,46292,1.89,17.32,1008.85,1010,1008,0,5.2,1.63,15.51,18.54
7,61.25,73.94,48.42,76.94,94.7,52.99,224.75,1207,32139,0.51,12.06,1011.64,1014,1009,0,5.17,1.86,15.63,18.18
7,65.58,74.53,58.77,90.18,95.2,74.5,91.91,972,13144,0.12,8.11,1007.61,1010,1006,0.1,5.48,2.08,15.81,18.76
7,70.38,83.43,58.05,75.88,96.2,45.52,312.19,1022,44643,0.55,10.74,1006.43,1008,1005,0,5.65,2.25,15.92,19.24
7,68.82,84.15,55.31,72.27,95.1,33.1,302.7,952,43286,0.13,9.64,1008.94,1010,1007,0,5.84,2.66,16.1,19.85
7,68.42,86.65,55.54,78.76,96.1,41.29,301.51,1015,43117,0.53,24.77,1009.01,1010,1006,0.68,6.07,2.77,16.32,20.03
7,67.45,78.69,58.51,79.07,96.4,45.06,307.66,1161,43995,0.52,14.69,1009.87,1011,1008,0.01,6.25,2.24,16.5,20.54
7,66.65,78.69,56.73,84.82,96.1,58.47,147.39,887,21076,0.28,9.21,1008.06,1010,1005,0.03,6.24,2.62,16.77,20.23
7,68.24,78.57,56.62,77.85,95.7,47.5,298.35,1194,42663,0.97,16,1007.18,1012,1004,0.02,6.33,2.84,16.92,20.51
7,66.51,81.64,53.29,73.83,96.1,32.77,327.9,1068,46890,0.4,9.64,1013.16,1015,1012,0,6.54,3.09,17.05,20.16
7,73.14,89.13,57.22,73.51,95.8,43.47,295.05,1080,41897,0.39,10.74,1008.7,1012,1003,0,6.77,3.27,17.11,20.59
7,76.37,84.02,67.3,71.2,92.1,55.29,243.51,1165,34822,1.76,16.44,1001.92,1003,1001,0,6.98,3.42,17.22,21.48
7,64.27,77.85,54.36,73.6,95.9,35.02,334.06,1181,47771,0.83,14.25,1011.62,1013,1008,0,7.48,3.77,17.57,20.52
7,64.08,79.86,49.48,70.97,95.9,32.64,331.5,1071,47405,0.52,10.52,1014.24,1015,1013,0,7.74,3.95,17.62,20.02
7,71.43,80.22,65.86,82.26,94.8,64.41,177.59,1221,25040,0.63,21.26,1009.05,1012,1007,0.06,8.44,4.44,17.66,20.74
7,69.94,81.52,59.72,80.23,96,48.22,286.82,900,41016,0.56,10.52,1007.44,1009,1006,0.01,8.65,4.61,17.77,21.01
7,79.78,93.42,66.7,72.21,94,47.1,251.83,1022,36012,0.71,16.88,1003.79,1007,1002,0,9.07,4.92,17.99,21.78
7,81.62,91.76,66.7,61.75,84.5,26.56,316.31,994,45232,0.87,13.81,1006.94,1009,1004,0,9.28,5.06,18.17,22.85
7,72.94,83.43,61.12,74.09,89.9,44.39,245.78,1030,35146,0.56,12.71,1009.8,1011,1008,0,9.63,5.3,18.61,22.41
7,63.52,72.99,58.28,85.72,94.7,64.09,71.69,435,10252,0.7,12.06,1008.63,1011,1005,0.38,9.75,5.4,18.73,21.12
7,66.5,80.6,59.34,83.71,93.9,53.91,206.9,1134,29587,0.68,15.34,1002.99,1005,1001,0.19,9.86,5.49,18.69,20.73
7,65.74,79.03,54.23,78.03,95.9,48.17,258.46,1154,36960,0.73,14.47,1008,1012,1004,0,9.99,5.62,18.6,20.49
7,67.86,81.64,54.23,76.27,96.2,35.01,271.61,1043,38840,0.24,7.67,1013.41,1015,1012,0,10.16,5.75,18.52,20.42
7,71.93,79.75,66.45,84.78,92.6,66.47,115.03,910,16449,0.92,18.19,1008.29,1012,1004,0.18,10.28,5.83,18.48,21.04
7,70.4,82.24,59.13,77.13,95.4,43.8,253.97,1049,28445,0.78,14.91,1009.55,1013,1006,0,10.4,5.94,18.52,21.77
7,68.56,84.51,54.59,76.82,96.2,34.15,296.16,1085,42350,0.31,9.86,1012.87,1015,1011,0.01,10.54,6.06,18.6,21.04
8,71.88,86.04,58.28,75.05,96.1,45.32,250.55,1103,35828,0.67,12.49,1007.75,1011,1004,0,10.66,6.14,18.63,21.09
8,69.34,81.88,57.33,70.14,94.9,42.68,280.49,1135,40110,1.12,21.92,1003.43,1005,1001,0,10.74,6.22,18.64,21.03
8,69.2,81.64,60.4,79.5,95.2,50.14,245.6,1153,34138,0.25,10.96,1009.29,1012,1005,0,10.97,6.42,18.57,20.74
8,69.67,83.68,61.12,82.63,95.4,51,161.78,1108,23135,0.08,8.11,1013.88,1015,1012,0.01,11.11,6.52,18.56,21
8,69.53,79.75,64.31,86.48,95,61.9,101.48,837,14512,0.34,14.91,1011.71,1014,1007,0.69,11.2,6.6,18.6,20.94
8,72.5,84.25,65.52,84.89,95.4,58.79,171.63,1055,24543,0.19,13.37,1001.73,1007,998,0.36,11.22,6.66,18.63,21.31
8,71.41,81.18,60.3,82.43,95.6,56.02,268.86,1018,38447,0.92,13.59,998.87,1002,997,0,11.26,6.73,18.7,22.26
8,66.2,76.66,56.26,87.44,96.2,62.5,123.3,845,17631,0.39,10.96,999.72,1002,996,0.27,11.35,6.81,18.86,21.53
8,68.94,79.16,62.42,82.18,95.4,51.86,244.79,1115,35005,0.63,10.74,998.12,1002,996,0.23,11.43,6.89,18.93,21.63
8,65.22,74.64,58.05,66.56,92.5,37.93,260.81,1135,37296,1.25,16.88,1005.39,1009,1002,0,11.53,6.98,18.96,21.3
8,65.28,81.05,51.26,78.07,96.1,48.49,217.66,809,31126,0.13,7.45,1013.23,1015,1011,0,11.77,7.15,18.88,20.28
8,65.92,71.58,62.06,87.66,95,76.8,54.82,279,7839,0.12,10.74,1009,1011,1007,0.6,11.83,7.2,18.79,20.42
8,62.52,66.81,59.22,93.65,95.4,89.8,35.75,309,5112,0.23,10.52,1004.08,1007,1002,1.9,11.82,7.04,18.73,19.83
8,65.29,79.86,57.22,81.17,96.2,41.95,264.07,1100,37762,0.24,9.43,1014.72,1017,1012,0.01,11.13,4.15,18.59,20.05
8,67.16,81.05,55.78,82.74,96.2,51.59,212.47,900,30383,0.22,12.06,1011.39,1014,1009,0,10.49,4.6,18.55,20.28
8,69,84.38,61.25,83.39,96,41.68,185.67,905,26550,0.37,11.4,1008.94,1010,1008,0.02,10.14,5.07,18.57,20.68
8,66.43,82.47,57.33,79.49,96.1,43.07,265.71,925,37996,0.39,8.77,1010.73,1012,1009,0,10.08,5.43,18.63,20.91
